,reward,episode_duration
0,16,7.238040924072266
1,13,7.037499666213989
2,14,7.465343952178955
3,8,6.783779621124268
4,9,7.122135400772095
5,13,6.911271095275879
6,15,7.062953472137451
7,12,7.715083837509155
8,12,6.955611944198608
9,11,6.707447052001953
10,13,6.503619194030762
11,9,7.239908218383789
12,12,7.425708770751953
13,11,7.0960001945495605
14,5,6.783081293106079
15,12,6.534511566162109
16,11,6.72932505607605
17,6,7.028186082839966
18,14,7.0009706020355225
19,15,7.603474378585815
20,8,6.9437055587768555
21,17,6.74664306640625
22,12,6.785121440887451
23,12,6.699570417404175
24,9,7.087197780609131
25,8,6.790140867233276
26,10,7.0705273151397705
27,6,6.95180869102478
28,9,6.874640703201294
29,11,6.9761903285980225
30,6,6.6658360958099365
31,11,7.1138551235198975
32,11,6.808547258377075
33,11,6.907217979431152
34,13,6.798501491546631
35,12,6.738998651504517
36,11,6.703977346420288
37,8,6.920456647872925
38,12,6.673903942108154
39,15,6.901575088500977
40,12,6.774176597595215
41,9,6.515525817871094
42,8,7.504287242889404
43,11,6.938593149185181
44,7,7.3468146324157715
45,17,6.8337531089782715
46,11,7.356786727905273
47,10,7.286236524581909
48,13,7.153463125228882
49,12,7.270685195922852
50,13,6.967903137207031
51,14,7.884572505950928
52,9,6.603607892990112
53,8,6.4833457469940186
54,9,6.984476566314697
55,9,6.942019939422607
56,11,6.684895753860474
57,7,7.318825960159302
58,7,6.988528490066528
59,8,6.652256727218628
60,10,6.603705883026123
61,13,6.7733917236328125
62,9,6.77781867980957
63,12,6.988197565078735
64,12,6.913715839385986
65,13,6.565476417541504
66,11,6.52805757522583
67,9,6.7076544761657715
68,16,6.8604700565338135
69,12,6.940418243408203
70,11,6.370341062545776
71,16,7.188347816467285
72,9,7.061692237854004
73,5,6.76957368850708
74,12,6.312706232070923
75,9,6.44277286529541
76,6,7.250777244567871
77,12,6.7832019329071045
78,14,7.21328330039978
79,6,6.867713212966919
80,8,6.836765289306641
81,4,6.586371898651123
82,7,6.8728673458099365
83,9,7.284694194793701
84,7,7.565566062927246
85,13,7.668155908584595
86,10,7.067947626113892
87,11,7.192156076431274
88,7,7.219852924346924
89,8,7.515769004821777
90,8,6.949706792831421
91,6,7.293410062789917
92,10,6.828010082244873
93,8,6.879961013793945
94,9,6.439884662628174
95,10,6.998600482940674
96,9,7.394202709197998
97,10,7.714811563491821
98,10,6.9948413372039795
99,8,7.65622878074646
100,10,6.859516859054565
101,11,6.866127967834473
102,12,7.495594024658203
103,7,6.891205787658691
104,11,6.6515281200408936
105,13,6.700500965118408
106,16,6.984891176223755
107,10,6.985865354537964
108,14,6.382469892501831
109,11,6.412956953048706
110,12,6.870178461074829
111,13,6.586086988449097
112,10,6.55213189125061
113,12,6.331990480422974
114,12,6.529857158660889
115,9,6.5718092918396
116,8,6.955317974090576
117,12,6.519858121871948
118,12,7.080022811889648
119,10,7.4193456172943115
120,5,7.5662548542022705
121,15,6.885389804840088
122,5,6.811412572860718
123,9,6.809933185577393
124,7,6.902526378631592
125,9,6.996861219406128
126,13,6.704065322875977
127,8,7.067790985107422
128,7,6.736226320266724
129,14,6.459498167037964
130,11,7.000590562820435
131,14,6.621888160705566
132,9,7.000373840332031
133,16,6.786248683929443
134,9,6.6188507080078125
135,8,6.605377197265625
136,9,6.663004159927368
137,10,6.667318105697632
138,9,6.670904636383057
139,10,6.623708724975586
140,9,7.25201678276062
141,8,6.833860397338867
142,9,7.171100854873657
143,9,6.758558511734009
144,11,6.727947235107422
145,10,6.601731777191162
146,10,6.831203937530518
147,9,6.99459433555603
148,14,6.984738826751709
149,12,7.221977472305298
150,11,7.590340852737427
151,13,6.9106903076171875
152,10,6.807581901550293
153,10,6.652363300323486
154,6,6.656446933746338
155,10,7.07415509223938
156,12,6.873674154281616
157,6,7.005990028381348
158,6,6.775608062744141
159,8,7.147193670272827
160,9,7.360001087188721
161,7,6.861783981323242
162,9,7.205576658248901
163,12,6.854537010192871
164,11,7.024310350418091
165,11,6.694857835769653
166,9,7.700548887252808
167,7,7.620495796203613
168,7,7.633135795593262
169,10,7.29472279548645
170,6,7.287905931472778
171,11,7.218202114105225
172,12,7.311222076416016
173,13,7.702968120574951
174,11,7.139274835586548
175,10,6.792141675949097
176,9,6.567892789840698
177,8,7.1657586097717285
178,10,7.201678037643433
179,10,7.199430227279663
180,6,6.772270202636719
181,12,6.3231823444366455
182,9,6.373213768005371
183,4,6.536263465881348
184,12,6.510973215103149
185,12,7.1848907470703125
186,8,6.56665301322937
187,10,6.3817572593688965
188,13,6.459198713302612
189,10,6.689220666885376
190,4,6.708136796951294
191,12,6.374278545379639
192,8,7.145055294036865
