,reward,episode_duration
0,18,0.2629990577697754
1,18,0.1880042552947998
2,16,0.22299408912658691
3,17,1.4020016193389893
4,20,1.6500000953674316
5,18,1.6180000305175781
6,18,1.5919992923736572
7,15,1.616002082824707
8,17,1.6439998149871826
9,18,1.6800000667572021
10,14,1.638998031616211
11,14,1.6320013999938965
12,18,1.6319999694824219
13,17,1.6229987144470215
14,19,1.6299967765808105
15,20,1.6070032119750977
16,15,1.7629990577697754
17,15,1.613999366760254
18,20,1.6520004272460938
19,16,1.660998821258545
20,17,1.604001522064209
21,15,1.622997760772705
22,16,1.6230006217956543
23,15,1.607001781463623
24,16,1.6219983100891113
25,13,1.6550021171569824
26,16,1.6119937896728516
27,17,1.6300005912780762
28,17,1.6629979610443115
29,18,1.6130023002624512
30,15,1.6149985790252686
31,16,1.6279995441436768
32,17,1.6220009326934814
33,18,1.6160013675689697
34,17,1.6209983825683594
35,18,1.609999418258667
36,17,1.6119985580444336
37,17,1.612999439239502
38,18,1.6510000228881836
39,12,1.608999490737915
40,18,1.6209990978240967
41,18,1.6440000534057617
42,18,1.6440002918243408
43,15,1.6669998168945312
44,14,1.7249984741210938
45,14,1.6860005855560303
46,15,1.6870019435882568
47,19,1.7650001049041748
48,18,1.7779979705810547
49,18,1.821000099182129
50,18,1.776998519897461
51,18,1.6749968528747559
52,19,1.6509993076324463
53,19,1.6399977207183838
54,15,1.6290011405944824
55,18,1.6680009365081787
56,17,1.6789982318878174
57,18,1.6700000762939453
58,17,1.6469991207122803
59,17,1.665999174118042
60,16,1.6549983024597168
61,15,1.6620001792907715
62,14,1.6570007801055908
63,18,1.6900014877319336
64,19,1.6650002002716064
65,15,1.679999828338623
66,16,1.6950011253356934
67,14,1.6519980430603027
68,14,1.659001350402832
69,16,1.6465210914611816
70,15,1.6479997634887695
71,17,1.653000831604004
72,17,1.655998945236206
73,18,1.6350021362304688
74,17,1.653998851776123
75,19,1.6609997749328613
76,19,1.6579995155334473
77,17,1.6719987392425537
78,15,1.665001630783081
79,16,1.6439995765686035
80,16,1.6540005207061768
81,15,1.6759984493255615
82,17,1.6410036087036133
83,17,1.6529953479766846
84,18,1.6440012454986572
85,14,1.6850006580352783
86,14,1.6660008430480957
87,17,1.6320016384124756
88,16,1.6549973487854004
89,17,1.6290011405944824
90,15,1.6259984970092773
91,12,1.662999153137207
92,17,1.645003318786621
93,16,1.6399967670440674
94,17,1.677001953125
95,10,1.6959972381591797
96,16,1.6429996490478516
97,15,1.635000228881836
98,18,1.6400017738342285
99,15,1.6440000534057617
100,16,1.6499979496002197
101,18,1.6419973373413086
102,15,1.6479988098144531
103,17,1.6470005512237549
104,17,1.7179999351501465
105,14,1.6620006561279297
106,15,1.6550006866455078
107,18,1.645998477935791
108,18,1.6420009136199951
109,16,1.6479969024658203
110,14,1.6590015888214111
111,16,1.675002098083496
112,16,1.684997797012329
113,16,1.6550025939941406
114,13,1.7000014781951904
115,20,1.636000394821167
116,16,1.6339976787567139
117,19,1.6199989318847656
118,15,1.633998155593872
119,14,1.6340041160583496
120,15,1.6749987602233887
121,18,1.6149969100952148
122,13,1.6230032444000244
123,16,1.660996437072754
124,14,1.6800014972686768
125,17,1.6399986743927002
126,15,1.6479942798614502
127,16,1.6460018157958984
128,13,1.6449999809265137
129,17,1.6469988822937012
130,19,1.6379997730255127
131,20,1.6400012969970703
132,18,1.6510000228881836
133,18,1.6860005855560303
134,14,1.6339998245239258
135,16,1.6419994831085205
136,15,1.6430003643035889
137,20,1.6550002098083496
138,18,1.6339976787567139
139,16,1.6269993782043457
140,17,1.6410019397735596
141,14,1.6260004043579102
142,15,1.6589999198913574
143,17,1.6689980030059814
144,15,1.6290013790130615
145,15,1.6280004978179932
146,17,1.643000841140747
147,18,1.636000156402588
148,17,1.6650009155273438
149,16,1.6689984798431396
150,18,1.6469974517822266
151,17,1.6400032043457031
152,17,1.6840004920959473
153,18,1.6409990787506104
154,17,1.639998197555542
155,20,1.623999834060669
156,18,1.640002727508545
157,17,1.6329989433288574
158,15,1.633000135421753
159,14,1.650998830795288
160,14,1.642998456954956
161,18,1.6630001068115234
162,14,1.6770014762878418
163,19,1.637998342514038
164,18,1.6409997940063477
165,18,1.6410012245178223
166,14,1.63899827003479
167,15,1.637000560760498
168,15,1.64400053024292
169,17,1.7780005931854248
170,12,1.6520001888275146
171,18,1.6670007705688477
172,18,1.6729984283447266
173,17,1.6700000762939453
174,14,1.6439993381500244
175,16,1.6530005931854248
176,19,1.64699387550354
177,13,1.6340019702911377
178,17,1.652000904083252
179,14,1.6559982299804688
180,17,1.654000997543335
181,14,1.6850028038024902
182,14,1.6539971828460693
183,13,1.6550004482269287
184,15,1.642000436782837
185,18,1.6710000038146973
186,16,1.6569979190826416
187,9,1.6700010299682617
188,16,1.643998622894287
189,16,1.638000726699829
190,16,1.6570022106170654
191,13,1.6770007610321045
192,15,1.6459980010986328
193,13,1.6560006141662598
194,20,1.6739978790283203
195,13,1.6970024108886719
196,17,1.6519999504089355
197,19,1.6790008544921875
198,12,1.680994987487793
199,10,1.6670033931732178
200,15,1.7099997997283936
201,18,1.6449952125549316
202,18,1.6420402526855469
203,16,1.6499996185302734
204,12,1.6495299339294434
205,13,1.6190643310546875
206,14,1.6550543308258057
207,17,1.6539990901947021
208,18,1.6540000438690186
209,14,1.673999309539795
210,18,1.6640000343322754
211,17,1.6590003967285156
212,17,1.6600008010864258
213,16,1.648000955581665
214,18,1.656998634338379
215,20,1.7019994258880615
216,19,1.6710021495819092
217,16,1.6529994010925293
218,15,1.6689989566802979
219,18,1.7280018329620361
220,14,1.6509995460510254
221,18,1.634998083114624
222,17,1.662001132965088
223,16,1.6950030326843262
224,12,1.6749987602233887
225,13,1.7070021629333496
226,18,1.653001070022583
227,19,1.7200019359588623
228,17,1.6860015392303467
229,15,1.7399990558624268
230,17,1.767000675201416
231,16,1.6839981079101562
232,14,1.6350061893463135
233,15,1.620995283126831
234,15,1.6310014724731445
235,15,1.6489999294281006
236,16,1.6349968910217285
237,17,1.6330010890960693
238,14,1.649998426437378
239,18,1.6540017127990723
240,19,1.6800007820129395
241,17,1.630997657775879
242,14,1.630002737045288
243,14,1.6409995555877686
244,14,1.6539990901947021
245,18,1.6409997940063477
246,18,1.6110022068023682
247,15,1.665001392364502
248,12,1.648000955581665
249,13,1.6319983005523682
250,17,1.6239995956420898
251,14,1.6179959774017334
252,15,1.6200015544891357
253,18,1.6359987258911133
254,14,1.6570024490356445
255,19,1.6449978351593018
256,18,1.661001443862915
257,20,1.6750001907348633
258,18,1.6470000743865967
259,16,1.5950000286102295
260,17,1.6250009536743164
261,19,1.6819992065429688
262,12,1.636998176574707
263,10,1.632002830505371
264,16,1.6319997310638428
265,16,1.6220004558563232
266,15,1.6229984760284424
267,20,1.6480026245117188
268,16,1.6549983024597168
269,17,1.7149999141693115
270,17,1.763002634048462
271,16,1.8129994869232178
272,15,1.7479984760284424
273,14,1.6920013427734375
274,16,1.7420008182525635
275,17,1.7129991054534912
276,12,1.7250006198883057
277,14,1.673997163772583
278,15,1.6650006771087646
279,14,1.698000192642212
280,15,1.6739981174468994
281,15,1.6750011444091797
282,13,1.6669988632202148
283,16,1.6580009460449219
284,11,1.668001413345337
