,reward,episode_duration
0,12,5.233222723007202
1,6,5.096119165420532
2,9,5.195592403411865
3,13,5.186653137207031
4,7,5.036492347717285
5,8,5.460312604904175
6,12,5.131999731063843
7,9,5.1621294021606445
8,9,5.094290733337402
9,12,5.0310235023498535
10,9,5.162843227386475
11,8,5.009897232055664
12,13,5.012562274932861
13,11,5.142169237136841
14,9,5.0356080532073975
15,10,5.143430233001709
16,6,5.166961193084717
17,4,5.424628973007202
18,10,5.732699155807495
19,9,5.075563669204712
20,6,5.13055682182312
21,14,5.077770233154297
22,13,5.1586620807647705
23,10,5.166793584823608
24,6,5.147168874740601
25,6,5.063552618026733
26,9,5.179243564605713
27,10,5.014450550079346
28,4,5.099214315414429
29,8,4.959501028060913
30,7,5.042644023895264
31,12,5.082261085510254
32,10,5.004480600357056
33,8,5.004202365875244
34,7,5.0980918407440186
35,9,5.2495036125183105
36,11,5.215760707855225
37,10,5.128940582275391
38,9,5.329557657241821
39,7,5.0797975063323975
40,5,5.156363487243652
41,10,4.9931652545928955
42,5,4.999920606613159
43,12,5.091420888900757
44,6,5.149892091751099
45,11,5.0545549392700195
46,10,5.211827754974365
47,9,5.129146337509155
48,12,5.050769329071045
49,12,5.220609664916992
50,8,5.498738050460815
51,2,5.548754930496216
52,10,5.255279541015625
53,6,5.227883815765381
54,8,5.09141993522644
55,12,5.141337871551514
56,9,4.975893497467041
57,6,5.055498123168945
58,13,5.1195762157440186
59,8,5.142989158630371
60,10,5.445321321487427
61,12,5.529174566268921
62,12,5.434364318847656
63,10,5.155937910079956
64,8,5.050131797790527
65,10,5.109480857849121
66,10,5.130465269088745
67,12,4.977319717407227
68,14,5.050174713134766
69,8,5.052645206451416
70,9,5.149008750915527
71,5,5.277150630950928
72,8,5.295200824737549
73,12,5.120782852172852
74,7,5.068138837814331
75,7,4.952700853347778
76,9,5.039010763168335
77,11,5.451997995376587
78,8,5.173788785934448
79,10,5.0751259326934814
80,11,5.073904275894165
81,11,5.002397775650024
82,10,4.925842046737671
83,7,5.147403001785278
84,7,4.9810028076171875
85,9,5.159005641937256
86,9,5.031522512435913
87,11,5.0762012004852295
88,10,5.110544443130493
89,11,5.1442036628723145
90,9,5.033010482788086
91,8,5.383747577667236
92,6,5.681705474853516
93,7,5.28717827796936
94,11,5.070390939712524
95,7,5.014278888702393
96,12,5.345831394195557
97,6,5.042847156524658
98,13,5.05040717124939
99,7,5.068868160247803
100,10,5.17791223526001
101,9,5.37043833732605
102,11,5.336222410202026
103,10,5.793203830718994
104,12,5.279574632644653
105,12,5.16468620300293
106,9,5.193445682525635
107,9,5.295881509780884
108,13,5.331841468811035
109,12,5.042695999145508
110,8,5.283043622970581
111,10,5.097987174987793
112,12,5.046402931213379
113,7,5.0624449253082275
114,10,4.981939315795898
115,10,5.038177013397217
116,5,5.4704484939575195
117,10,5.441713809967041
118,8,5.495646953582764
119,5,4.988959550857544
120,11,5.049982786178589
121,8,4.958436489105225
122,12,4.893048048019409
123,7,4.982122182846069
124,10,5.014270067214966
125,10,5.054056406021118
126,11,5.244272947311401
127,11,5.056075096130371
128,5,5.026041746139526
129,8,5.0140159130096436
130,12,5.36105489730835
131,10,5.482733488082886
132,7,5.172070741653442
133,10,5.108063459396362
134,9,5.254116058349609
135,9,5.067911386489868
136,7,5.118821620941162
